episode,reward,length,win_status,avg_hero_reward,avg_villain_reward
1,-168.46001194332217,830,0,-71.30667462888147,97.15333731444072
2,-172.46589874837872,214,0,-73.97726583225247,98.48863291612624
3,-161.06434426265483,569,0,-60.04289617510324,101.02144808755159
4,-156.1797853049315,694,0,-63.119856869954326,93.05992843497717
5,-175.66487369335,358,0,-80.4432491289,95.22162456444998
6,-148.22153292945336,812,0,-56.81435528630226,91.40717764315112
7,-164.74300492505506,550,0,-71.16200328337004,93.58100164168502
8,-170.27456409786942,330,0,-76.8497093985796,93.4248546992898
9,-123.36811440156565,803,0,-34.91207626771043,88.45603813385522
10,104.8252723509517,1983,0,175.88351490063445,71.05824254968275
11,-152.1095405045662,343,0,-61.406360336377475,90.70318016818874
12,-111.50499099613975,805,0,-36.669993997426495,74.83499699871327
13,-105.9383387930792,803,0,-26.625559195386217,79.31277959769298
14,-179.79756715418898,96,0,-83.19837810279266,96.59918905139632
15,-150.43404382602375,281,0,-60.289362550682505,90.14468127534124
16,-142.19928052884197,228,0,-51.466187019227974,90.733093509614
17,-71.84798561762224,801,0,2.4346762549184433,74.28266187254069
18,-169.1405979075812,153,0,-76.09373193838746,93.04686596919373
19,-116.41621663475885,407,0,-30.277477756505917,86.13873887825294
20,-173.63972377130162,111,0,-79.09314918086774,94.54657459043388
21,-148.39075637179545,262,0,-62.260504247863636,86.13025212393181
22,38.964736505513685,1211,0,78.97649100367575,40.01175449816206
23,-53.194355554025236,801,0,13.537096297316523,66.73145185134176
24,-43.355789623275975,805,0,15.096140251149379,58.45192987442535
25,12.71715241150065,849,0,65.47810160766707,52.76094919616642
26,28.83138907016123,952,0,69.88759271344085,41.05620364327962
27,559.32015332919,2971,0,484.8801022194599,-74.44005110973008
28,-9.716612309531172,801,0,37.522258460312514,47.238870769843686
29,-39.485586878952525,649,0,13.676275414031636,53.16186229298416
30,1443.879244114865,4758,1,1013.9194960765764,-429.95974803828864
31,6.726689668203242,801,0,47.48445977880213,40.75777011059889
32,21.411658023956207,801,0,57.607772015970895,36.19611399201469
33,303.6156354231699,251,1,182.41042361544663,-121.2052118077233
34,27.168505611717144,801,0,67.44567040781138,40.27716479609423
35,-76.06948794267312,396,0,-10.712991961782066,65.35649598089105
36,116.481478619663,1083,0,124.98765241310862,8.506173793445626
37,47.9294598019779,801,0,77.28630653465193,29.35684673267403
38,57.221074077032,801,0,81.48071605135459,24.25964197432259
39,328.63592230906596,301,1,199.0906148727106,-129.54530743635536
40,151.85135421125693,1057,0,149.90090280750468,-1.950451403752254
41,72.76252242078608,801,0,93.84168161385749,21.079159193071405
42,-5.229853611538928,512,0,39.846764258974005,45.07661787051293
43,932.7459136597784,2843,0,731.4972757731858,-201.24863788659255
44,80.0790322552773,801,0,95.38602150351822,15.306989248240924
45,3111.576744324795,9342,0,2191.0511628831964,-920.5255814415984
46,921.3297882543177,1859,1,612.553192169545,-308.7765960847727
47,395.42320849116595,448,1,243.61547232744397,-151.80773616372198
48,172.81139344858656,930,0,160.54092896572442,-12.270464482862153
49,116.99851905800831,801,0,117.99901270533888,1.000493647330572
50,119.18784680736574,801,0,126.79189787157719,7.604051064211447
51,125.44345971422477,801,0,123.62897314281652,-1.8144865714082528
52,147.11710847245945,801,0,148.74473898163964,1.6276305091802072
53,164.76818139134366,878,0,151.51212092756245,-13.256060463781196
54,145.10118983049557,801,0,146.06745988699703,0.9662700565014433
55,152.2399149901203,801,0,141.49327666008023,-10.74663833004007
56,153.49703629118181,801,0,142.33135752745454,-11.165678763727271
57,147.83424888916858,801,0,137.22283259277904,-10.611416296389521
58,164.12448186326765,801,0,151.4163212421784,-12.708160621089249
59,169.61875151500197,801,0,157.07916767666796,-12.539583838334025
60,176.59712312354287,801,0,159.73141541569527,-16.86570770784762
61,173.4417691617025,801,0,154.29451277446833,-19.147256387234165
62,185.15454242499015,801,0,160.1030282833268,-25.05151414166336
63,183.5387400421053,801,0,161.02582669473688,-22.51291334736844
64,193.87387493903873,801,0,165.91591662602582,-27.957958313012895
65,198.3542030714499,801,0,170.9028020476332,-27.451401023816672
66,201.33408692351117,801,0,174.8893912823408,-26.444695641170355
67,205.35333936326265,801,0,177.56889290884172,-27.784446454420916
68,220.51420830462342,801,0,183.6761388697489,-36.83806943487451
69,233.4207468663261,801,0,195.61383124421735,-37.80691562210876
70,229.12902713826014,801,0,189.41935142550682,-39.70967571275331
71,234.28613956407776,801,0,194.85742637605193,-39.428713188025824
72,242.79807189609392,801,0,200.53204793072928,-42.26602396536464
73,241.0913271069686,801,0,203.39421807131225,-37.69710903565637
74,250.9979919729072,801,0,205.99866131527145,-44.999330657635724
75,257.3281351370389,801,0,210.21875675802596,-47.10937837901291
76,261.7745352386612,801,0,213.18302349244078,-48.59151174622042
77,280.4567937732286,801,0,226.97119584881915,-53.48559792440942
78,282.0141773218635,801,0,224.6761182145757,-57.33805910728776
79,280.20515375723363,801,0,225.47010250482242,-54.73505125241121
80,297.69267706972835,801,0,240.46178471315216,-57.23089235657618
81,284.9182742077618,801,0,234.6121828051745,-50.306091402587256
82,306.3574946844222,801,0,250.2383297896148,-56.11916489480741
83,304.9944410186238,801,0,239.99629401241583,-64.99814700620797
84,315.4624747321033,801,0,246.97498315473553,-68.4874915773678
85,320.48571727432864,801,0,250.32381151621905,-70.16190575810961
86,326.60404939267596,801,0,254.40269959511733,-72.20134979755865
87,340.3521220003442,801,0,266.90141466689613,-73.45070733344805
88,352.522888380709,801,0,284.348592253806,-68.174296126903
89,334.4451425583602,801,0,263.6300950389068,-70.8150475194534
90,348.6506230305822,801,0,269.1004153537215,-79.55020767686077
91,781.4025991063725,1221,0,612.9350660709148,-168.46753303545773
92,361.8205651665385,801,0,277.8803767776924,-83.94018838884608
93,365.64375005048055,801,0,280.42916670032037,-85.21458335016017
94,385.8356164244235,801,0,310.5570776162823,-75.27853880814122
95,376.82951280168766,801,0,289.88634186779177,-86.94317093389587
96,390.714709367162,801,0,297.143139578108,-93.57156978905402
97,1665.9080345413336,2477,0,1171.2720230275556,-494.6360115137778
98,416.2307651555652,801,0,322.82051010371015,-93.41025505185509
99,432.2807282664758,801,0,336.8538188443172,-95.42690942215863
100,429.5611739833853,801,0,329.70744932225693,-99.85372466112834
